Tag,Name,Default,Minimum,Maximum,Map,Labelname (en)
wght,weight,400.0,100.0,900.0,[],weight
opsz,optical size,14.0,8.0,144.0,[],opsize
wdth,width,100.0,50.0,125.0,[],width
XTRA,XTRA,980.0,444.0,1104.0,[],XTRA
XOPQ,XOPQ,176.0,36.0,526.0,[],XOPQ
YOPQ,YOPQ,124.0,29.0,224.0,[],YOPQ
YTAS,YTAS,767.0,667.0,867.0,[],y transparent ascender
YTDE,YTDE,240.0,140.0,340.0,[],y transparent descender
YTUC,YTUC,750.0,550.0,850.0,[],y transparent uppercase
YTLC,YTLC,500.0,445.0,600.0,[],y transparent lowercase
